Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; ; ; ;
2; 3,331E-2; ; ; ;
3; 6,663E-2; ; ; ;
4; 9,994E-2; ; ; ;
5; 1,333E-1; ; ; ;
6; 1,666E-1; ; ; ;
7; 1,999E-1; ; ; ;
8; 2,332E-1; ; ; ;
9; 2,665E-1; ; ; ;
10; 2,998E-1; ; ; ;
11; 3,331E-1; ; ; ;
12; 3,664E-1; ; ; ;
13; 3,998E-1; ; ; ;
14; 4,331E-1; ; ; ;
15; 4,664E-1; ; ; ;
16; 4,997E-1; ; ; ;
17; 5,330E-1; ; ; ;
18; 5,663E-1; ; ; ;
19; 5,996E-1; ; ; ;
20; 6,330E-1; ; ; ;
21; 6,663E-1; ; ; ;
22; 6,996E-1; ; ; ;
23; 7,329E-1; ; ; ;
24; 7,662E-1; ; ; ;
25; 7,995E-1; ; ; ;
26; 8,328E-1; ; ; ;
27; 8,661E-1; ; ; ;
28; 8,995E-1; ; ; ;
29; 9,328E-1; ; ; ;
30; 9,661E-1; ; ; ;
31; 9,994E-1; ; ; ;
32; 1,033E0; ; ; ;
33; 1,066E0; ; ; ;
34; 1,099E0; ; ; ;
35; 1,133E0; ; ; ;
36; 1,166E0; ; ; ;
37; 1,199E0; ; ; ;
38; 1,233E0; ; ; ;
39; 1,266E0; ; ; ;
40; 1,299E0; ; ; ;
41; 1,333E0; ; ; ;
42; 1,366E0; ; ; ;
43; 1,399E0; ; ; ;
44; 1,432E0; ; ; ;
45; 1,466E0; ; ; ;
46; 1,499E0; ; ; ;
47; 1,532E0; ; ; ;
48; 1,566E0; ; ; ;
49; 1,599E0; ; ; ;
50; 1,632E0; ; ; ;
51; 1,666E0; -6,917E-3; -5,409E-3; 0,000E0; 0,000E0
52; 1,699E0; 3,535E-2; -4,545E-3; 1,269E0; 2,595E-2
53; 1,732E0; 9,661E-2; -4,489E-3; 1,839E0; 1,668E-3
54; 1,766E0; 1,774E-1; -3,724E-3; 2,424E0; 2,298E-2
55; 1,799E0; 2,741E-1; -2,514E-3; 2,904E0; 3,631E-2
56; 1,832E0; 3,795E-1; -1,285E-2; 3,165E0; -3,103E-1
57; 1,866E0; 4,928E-1; -8,604E-3; 3,402E0; 1,274E-1
58; 1,899E0; 6,025E-1; -7,455E-3; 3,291E0; 3,450E-2
59; 1,932E0; 7,098E-1; -5,461E-3; 3,222E0; 5,986E-2
60; 1,965E0; 8,134E-1; -2,966E-3; 3,109E0; 7,488E-2
61; 1,999E0; 9,165E-1; -2,926E-3; 3,094E0; 1,214E-3
62; 2,032E0; 1,010E0; -3,924E-3; 2,797E0; -2,997E-2
63; 2,065E0; ; ; ;
64; 2,099E0; ; ; ;
65; 2,132E0; ; ; ;
66; 2,165E0; ; ; ;
67; 2,199E0; ; ; ;
68; 2,232E0; ; ; ;
69; 2,265E0; ; ; ;
70; 2,299E0; ; ; ;
71; 2,332E0; ; ; ;
72; 2,365E0; ; ; ;
73; 2,399E0; ; ; ;
74; 2,432E0; ; ; ;
75; 2,465E0; ; ; ;
76; 2,498E0; ; ; ;
77; 2,532E0; ; ; ;
78; 2,565E0; ; ; ;
79; 2,598E0; ; ; ;
80; 2,632E0; ; ; ;
81; 2,665E0; ; ; ;
