Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; 3,976E2; 2,234E2; ;
2; 3,331E-2; 3,976E2; 2,234E2; 0,000E0; 0,000E0
3; 6,663E-2; 3,976E2; 2,234E2; 0,000E0; 0,000E0
4; 9,994E-2; 3,976E2; 2,234E2; 0,000E0; 0,000E0
5; 1,333E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
6; 1,666E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
7; 1,999E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
8; 2,332E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
9; 2,665E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
10; 2,998E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
11; 3,331E-1; 3,976E2; 2,234E2; 0,000E0; 0,000E0
12; 3,664E-1; 3,954E2; 2,229E2; -6,787E1; -1,357E1
13; 3,998E-1; 3,954E2; 2,229E2; 0,000E0; 0,000E0
14; 4,331E-1; 3,963E2; 1,985E2; 2,715E1; -7,330E2
15; 4,664E-1; 3,963E2; 1,985E2; 0,000E0; 0,000E0
16; 4,997E-1; 3,963E2; 1,985E2; 0,000E0; 0,000E0
17; 5,330E-1; 3,963E2; 1,985E2; 0,000E0; 0,000E0
18; 5,663E-1; 3,967E2; 1,637E2; 1,357E1; -1,045E3
19; 5,996E-1; 3,967E2; 1,637E2; 0,000E0; 0,000E0
20; 6,329E-1; 3,967E2; 1,637E2; 0,000E0; 0,000E0
21; 6,663E-1; 3,967E2; 1,637E2; 0,000E0; 0,000E0
22; 6,996E-1; 3,972E2; 1,112E2; 1,357E1; -1,575E3
23; 7,329E-1; 4,041E2; 8,863E1; 2,081E2; -6,787E2
24; 7,662E-1; 4,026E2; 7,507E1; -4,525E1; -4,072E2
25; 7,995E-1; 4,017E2; 5,291E1; -2,715E1; -6,652E2
26; 8,328E-1; 4,008E2; 3,934E1; -2,715E1; -4,072E2
27; 8,661E-1; ; ; ;
28; 8,994E-1; ; ; ;
29; 9,328E-1; ; ; ;
30; 9,661E-1; ; ; ;
31; 9,994E-1; ; ; ;
32; 1,033E0; ; ; ;
33; 1,066E0; ; ; ;
34; 1,099E0; ; ; ;
35; 1,133E0; ; ; ;
36; 1,166E0; ; ; ;
37; 1,199E0; ; ; ;
38; 1,233E0; ; ; ;
39; 1,266E0; ; ; ;
40; 1,299E0; ; ; ;
41; 1,333E0; ; ; ;
42; 1,366E0; ; ; ;
43; 1,399E0; ; ; ;
44; 1,432E0; ; ; ;
45; 1,466E0; ; ; ;
46; 1,499E0; ; ; ;
47; 1,532E0; ; ; ;
48; 1,566E0; ; ; ;
49; 1,599E0; ; ; ;
50; 1,632E0; ; ; ;
51; 1,666E0; ; ; ;
52; 1,699E0; ; ; ;
53; 1,732E0; ; ; ;
54; 1,766E0; ; ; ;
55; 1,799E0; ; ; ;
56; 1,832E0; ; ; ;
57; 1,866E0; ; ; ;
58; 1,899E0; ; ; ;
59; 1,932E0; ; ; ;
60; 1,965E0; ; ; ;
61; 1,999E0; ; ; ;
62; 2,032E0; ; ; ;
63; 2,065E0; ; ; ;
64; 2,099E0; ; ; ;
65; 2,132E0; ; ; ;
66; 2,165E0; ; ; ;
67; 2,199E0; ; ; ;
68; 2,232E0; ; ; ;
69; 2,265E0; ; ; ;
70; 2,299E0; ; ; ;
71; 2,332E0; ; ; ;
72; 2,365E0; ; ; ;
73; 2,399E0; ; ; ;
74; 2,432E0; ; ; ;
75; 2,465E0; ; ; ;
76; 2,498E0; ; ; ;
77; 2,532E0; ; ; ;
78; 2,565E0; ; ; ;
79; 2,598E0; ; ; ;
