Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; ; ; ;
2; 3,336E-2; ; ; ;
3; 6,672E-2; ; ; ;
4; 1,001E-1; ; ; ;
5; 1,334E-1; ; ; ;
6; 1,668E-1; ; ; ;
7; 2,002E-1; ; ; ;
8; 2,335E-1; ; ; ;
9; 2,669E-1; ; ; ;
10; 3,002E-1; ; ; ;
11; 3,336E-1; ; ; ;
12; 3,670E-1; ; ; ;
13; 4,003E-1; ; ; ;
14; 4,337E-1; ; ; ;
15; 4,671E-1; ; ; ;
16; 5,004E-1; ; ; ;
17; 5,338E-1; ; ; ;
18; 5,671E-1; ; ; ;
19; 6,005E-1; ; ; ;
20; 6,339E-1; ; ; ;
21; 6,672E-1; ; ; ;
22; 7,006E-1; ; ; ;
23; 7,339E-1; ; ; ;
24; 7,673E-1; ; ; ;
25; 8,007E-1; ; ; ;
26; 8,340E-1; ; ; ;
27; 8,674E-1; ; ; ;
28; 9,007E-1; ; ; ;
29; 9,341E-1; ; ; ;
30; 9,675E-1; ; ; ;
31; 1,001E0; ; ; ;
32; 1,034E0; ; ; ;
33; 1,068E0; ; ; ;
34; 1,101E0; ; ; ;
35; 1,134E0; ; ; ;
36; 1,168E0; ; ; ;
37; 1,201E0; ; ; ;
38; 1,234E0; ; ; ;
39; 1,268E0; ; ; ;
40; 1,301E0; ; ; ;
41; 1,334E0; ; ; ;
42; 1,368E0; ; ; ;
43; 1,401E0; ; ; ;
44; 1,435E0; ; ; ;
45; 1,468E0; ; ; ;
46; 1,501E0; ; ; ;
47; 1,535E0; ; ; ;
48; 1,568E0; ; ; ;
49; 1,601E0; ; ; ;
50; 1,635E0; ; ; ;
51; 1,668E0; ; ; ;
52; 1,701E0; ; ; ;
53; 1,735E0; ; ; ;
54; 1,768E0; ; ; ;
55; 1,801E0; ; ; ;
56; 1,835E0; ; ; ;
57; 1,868E0; ; ; ;
58; 1,902E0; ; ; ;
59; 1,935E0; ; ; ;
60; 1,968E0; ; ; ;
61; 2,002E0; ; ; ;
62; 2,035E0; ; ; ;
63; 2,068E0; ; ; ;
64; 2,102E0; ; ; ;
65; 2,135E0; ; ; ;
66; 2,168E0; ; ; ;
67; 2,202E0; ; ; ;
68; 2,235E0; ; ; ;
69; 2,269E0; ; ; ;
70; 2,302E0; ; ; ;
71; 2,335E0; ; ; ;
72; 2,369E0; ; ; ;
73; 2,402E0; ; ; ;
74; 2,435E0; ; ; ;
75; 2,469E0; ; ; ;
76; 2,502E0; ; ; ;
77; 2,535E0; ; ; ;
78; 2,569E0; ; ; ;
79; 2,602E0; ; ; ;
80; 2,636E0; ; ; ;
81; 2,669E0; ; ; ;
82; 2,702E0; ; ; ;
83; 2,736E0; ; ; ;
84; 2,769E0; ; ; ;
85; 2,802E0; ; ; ;
86; 2,836E0; ; ; ;
87; 2,869E0; ; ; ;
88; 2,902E0; ; ; ;
89; 2,936E0; ; ; ;
90; 2,969E0; ; ; ;
91; 3,003E0; ; ; ;
92; 3,036E0; ; ; ;
93; 3,069E0; ; ; ;
94; 3,103E0; ; ; ;
95; 3,136E0; ; ; ;
96; 3,169E0; ; ; ;
97; 3,203E0; ; ; ;
98; 3,236E0; ; ; ;
99; 3,269E0; 4,732E1; 1,382E2; 0,000E0; 0,000E0
100; 3,303E0; 4,732E1; 1,382E2; 0,000E0; 0,000E0
101; 3,336E0; 4,732E1; 1,382E2; 0,000E0; 0,000E0
102; 3,369E0; ; ; ;
