Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; ; ; ;
2; 3,331E-2; 1,633E-1; -7,685E-3; 0,000E0; 0,000E0
3; 6,661E-2; ; ; ;
4; 9,992E-2; ; ; ;
5; 1,332E-1; 3,745E-1; -3,650E-3; 2,114E0; 4,038E-2
6; 1,665E-1; ; ; ;
7; 1,998E-1; 5,767E-1; -1,667E-3; 3,034E0; 2,977E-2
8; 2,332E-1; ; ; ;
9; 2,665E-1; 8,263E-1; -7,630E-3; 3,747E0; -8,952E-2
10; 2,998E-1; ; ; ;
11; 3,331E-1; 1,110E0; -1,214E-2; 4,259E0; -6,766E-2
12; 3,664E-1; ; ; ;
13; 3,997E-1; 1,432E0; -1,530E-2; 4,839E0; -4,743E-2
14; 4,330E-1; ; ; ;
15; 4,663E-1; 1,796E0; -1,716E-2; 5,453E0; -2,801E-2
16; 4,996E-1; ; ; ;
17; 5,329E-1; 2,181E0; -3,319E-2; 5,788E0; -2,405E-1
